arm,version,split,model,macro_f1,macro_f1,attack_recall,attack_recall,attack_precision,attack_precision,benign_fpr,benign_fpr
,,,,mean,std,mean,std,mean,std,mean,std
A,improved,day_ordered,logreg,0.6448,0.0,0.2981,0.0,0.9935,0.0,0.0011,0.0
A,improved,day_ordered,random_forest,0.6355,0.001,0.2839,0.0015,0.9999,0.0,0.0,0.0
A,improved,day_ordered,xgboost,0.6326,0.0,0.2798,0.0,0.9999,0.0,0.0,0.0
A,improved,random_70_30,logreg,0.9871,0.0003,0.98,0.0005,0.9811,0.0007,0.0062,0.0002
A,improved,random_70_30,random_forest,0.9999,0.0,0.9998,0.0,0.9999,0.0,0.0,0.0
A,improved,random_70_30,xgboost,1.0,0.0,0.9999,0.0,1.0,0.0,0.0,0.0
A,original,day_ordered,logreg,0.7401,0.0,0.4339,0.0,0.8667,0.0,0.0224,0.0
A,original,day_ordered,random_forest,0.6617,0.0068,0.2758,0.0098,0.9972,0.0001,0.0003,0.0
A,original,day_ordered,xgboost,0.4393,0.0,0.0106,0.0,0.948,0.0,0.0002,0.0
A,original,random_70_30,logreg,0.8993,0.0009,0.8181,0.0023,0.8568,0.0009,0.0332,0.0002
A,original,random_70_30,random_forest,0.9994,0.0,0.9989,0.0001,0.9991,0.0001,0.0002,0.0
A,original,random_70_30,xgboost,0.9997,0.0,0.9997,0.0,0.9993,0.0001,0.0002,0.0
