version,relpath,size_mb,sha256
original,GeneratedLabelledFlows/TrafficLabelling /Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,96.1,1f779b4f0d78f9225554c4de53b5a2c07912b60dcd136ee4c5c1d0d2496b7cc4
original,GeneratedLabelledFlows/TrafficLabelling /Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,101.87,7e2ddaa80a5849ba629463296b6128436c161b4a32e8034bb5beae06b0c45e08
original,GeneratedLabelledFlows/TrafficLabelling /Friday-WorkingHours-Morning.pcap_ISCX.csv,75.39,c061cd98f39d8054aeaed6244a5129a20b3985983d0d022b860ae8aa07fe8d21
original,GeneratedLabelledFlows/TrafficLabelling /Monday-WorkingHours.pcap_ISCX.csv,268.65,96f26aea87d513073769b48ce204c2921791149e1c6225f7db65a3fed7973820
original,GeneratedLabelledFlows/TrafficLabelling /Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,108.72,d74238e054023c8bd4d8056650463cadb25c100fb0e26ebd4272c07b5c022c4b
original,GeneratedLabelledFlows/TrafficLabelling /Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,92.03,e3deaff483d18b53b100a441dff9b8919416df8876b4edcc0f0d1e4bf48397d0
original,GeneratedLabelledFlows/TrafficLabelling /Tuesday-WorkingHours.pcap_ISCX.csv,174.7,ae9c88e10c41a8eb1ff454ae98bc513454925097d0b0b57180f94e79de445815
original,GeneratedLabelledFlows/TrafficLabelling /Wednesday-workingHours.pcap_ISCX.csv,285.64,ed538e85b84181e8897dedb3d37d365982f44b27eccd67c477581a8b65f3d170
improved,CICIDS2017_improved/friday.csv,285.19,ebd499e6f23bd59f9cb81bec28178491b02b925fa5640a24215c9437d79482d0
improved,CICIDS2017_improved/monday.csv,207.88,51fe5dc962626efb4ae70dce0303072fb780da0932822b651202ee9c2fbc1aff
improved,CICIDS2017_improved/thursday.csv,189.52,78a4d11eaf473d099e30e71ddb01e0f38218e844c0a9cdd36602145d674af482
improved,CICIDS2017_improved/tuesday.csv,178.4,e2a0a5b631dfc6b455cc9f9a88b944110637d70a7f74171473925f76f38b6b0c
improved,CICIDS2017_improved/wednesday.csv,291.29,bf46c5f3c792e8817381f724511229569606918eaf07ac986d7a2592b6341bc2
improved,CSECICIDS2018_improved/Friday-02-03-2018.csv,3689.84,f4641bab290bc07f48c560267250748f25ba0fa77029d02fe1d1c01bef3731d5
improved,CSECICIDS2018_improved/Friday-16-02-2018.csv,4211.74,a16b76a454a25fa4fd84c320f32e3164b22c09f537be3e77450ddeb2168a7622
improved,CSECICIDS2018_improved/Friday-23-02-2018.csv,3409.38,67aa9220ec27aaccd433a76853f10afdb3a2652284f573414c1dd39283241986
improved,CSECICIDS2018_improved/Thursday-01-03-2018.csv,3808.4,55b29d7b05cbe04192d31bdfe23e6c900c40d2497e26b21916e85c3cd64fc9e8
improved,CSECICIDS2018_improved/Thursday-15-02-2018.csv,2992.54,a4be06a9776310dee18e3dae93d6dfef385e8d61db2e1775fc4c104ba0ee09cb
improved,CSECICIDS2018_improved/Thursday-22-02-2018.csv,3473.83,cdfe956ccc1dcf18ab0e2c23fcae1aa4bfcb4f78f09d79eae58df1f44f80c6ff
improved,CSECICIDS2018_improved/Tuesday-20-02-2018.csv,3431.25,2c4cead8541ea84e6ef3be19c7fc1c61371c065bd3d3636a12f397bb1e9c22f0
improved,CSECICIDS2018_improved/Wednesday-14-02-2018.csv,3262.58,4ceed4ba26973004e3a86ae0c57d6a4ddd9742f1b222f44209cd7c1c48618fdb
improved,CSECICIDS2018_improved/Wednesday-21-02-2018.csv,3952.69,e41d41605d8ad0138eff538e3814621ae56185eea534c8e4929794f790c4d5f1
improved,CSECICIDS2018_improved/Wednesday-28-02-2018.csv,3812.22,419c3860788ba909b396ee8259c0f883da2cb58eb9f6d878407fed097225c2fa
