run_id,arm,task,dataset,version,split,attempted,model,seed,n_train,n_test,n_features,duplicates_removed,fit_seconds,macro_f1,weighted_f1,balanced_acc,mcc,accuracy,attack_recall,attack_precision,benign_fpr
55ad24ba4d81,A,multiclass,2017,original,random_70_30,as_attack,logreg,11,1966706,842874,72,18296,580.4,0.6313037266276145,0.9714893300090377,0.598348444424076,0.9177955497130904,0.9719590353955633,,,
81a0e7516e92,A,multiclass,2017,original,random_70_30,as_attack,logreg,23,1966706,842874,72,18296,541.7,0.6844212519029814,0.971043452796285,0.6754238227511471,0.9166649361916372,0.9715532807987908,,,
7198a1c5a8c6,A,multiclass,2017,original,random_70_30,as_attack,logreg,37,1966706,842874,72,18296,404.2,0.6708829186436313,0.9700534859564252,0.6575958943846395,0.9137633898788057,0.9706314348289306,,,
ff0393f3dcff,A,multiclass,2017,original,random_70_30,as_attack,logreg,51,1966706,842874,72,18296,625.8,0.6730908647610903,0.971248360697683,0.6520135893017138,0.9171493832825495,0.9717549716802274,,,
d2eff561b7af,A,multiclass,2017,original,random_70_30,as_attack,logreg,73,1966706,842874,72,18296,447.0,0.6759733301892727,0.9700020544746514,0.6672641211627852,0.9135439956400007,0.9705685547306003,,,
42d496f1a740,A,multiclass,2017,original,random_70_30,as_attack,random_forest,11,1966706,842874,72,18296,149.9,0.9214909541357446,0.9995730979506149,0.882791522150349,0.9987497283138684,0.9995752627320335,,,
c9378a773f7b,A,multiclass,2017,original,random_70_30,as_attack,random_forest,23,1966706,842874,72,18296,151.3,0.9799325103055586,0.9995520267392662,0.9662239140759173,0.9986833604254075,0.9995527208099906,,,
202d6ffe44f2,A,multiclass,2017,original,random_70_30,as_attack,random_forest,37,1966706,842874,72,18296,162.5,0.9632171309446823,0.9995549121169237,0.9369577761915622,0.9986939260652982,0.9995562800608394,,,
d1e1b608de99,A,multiclass,2017,original,random_70_30,as_attack,random_forest,51,1966706,842874,72,18296,164.0,0.9704645791863482,0.9995650492041359,0.9539372783981638,0.998721911977712,0.9995657713964364,,,
6f6c5313e3f6,A,multiclass,2017,original,random_70_30,as_attack,random_forest,73,1966706,842874,72,18296,161.3,0.9853796133374532,0.9995730636996635,0.9748324423996544,0.9987462826064435,0.9995740763150839,,,
9f4864be6fb9,A,multiclass,2017,original,random_70_30,as_attack,xgboost,11,1966706,842874,72,18296,179.8,0.8253321372142564,0.9992551542847103,0.8904966055842282,0.997815003630398,0.9992573029895334,,,
591d56c79692,A,multiclass,2017,original,random_70_30,as_attack,xgboost,23,1966706,842874,72,18296,178.3,0.9240270395711039,0.9996326027424545,0.9429083165613557,0.9989177869039543,0.9996322107456156,,,
448afbd5c4a5,A,multiclass,2017,original,random_70_30,as_attack,xgboost,37,1966706,842874,72,18296,183.7,0.7023708872596716,0.9958704357170766,0.6980490628228329,0.9877419637794157,0.9958333036729096,,,
c689b566c1bd,A,multiclass,2017,original,random_70_30,as_attack,xgboost,51,1966706,842874,72,18296,164.8,0.9193679882120526,0.9994926952923987,0.967398399725699,0.9985026697633539,0.9994910271286099,,,
5cda2a1e616b,A,multiclass,2017,original,random_70_30,as_attack,xgboost,73,1966706,842874,72,18296,174.8,0.8908419241438426,0.9993925839575255,0.922958895209747,0.9982092382763676,0.9993913681048413,,,
fed6b8f53d82,A,multiclass,2017,original,day_ordered,as_attack,logreg,11,1651932,866647,72,18296,241.2,0.32987426736275466,0.9896228020882638,0.9794587646411976,0.0,0.9794587646411976,,,
ac6363ac2d6f,A,multiclass,2017,original,day_ordered,as_attack,logreg,23,1651932,866647,72,18296,241.5,0.32987426736275466,0.9896228020882638,0.9794587646411976,0.0,0.9794587646411976,,,
f83bfca5a8e9,A,multiclass,2017,original,day_ordered,as_attack,logreg,37,1651932,866647,72,18296,240.9,0.32987426736275466,0.9896228020882638,0.9794587646411976,0.0,0.9794587646411976,,,
5f176506b8b3,A,multiclass,2017,original,day_ordered,as_attack,logreg,51,1651932,866647,72,18296,241.9,0.32987426736275466,0.9896228020882638,0.9794587646411976,0.0,0.9794587646411976,,,
88c89b200746,A,multiclass,2017,original,day_ordered,as_attack,logreg,73,1651932,866647,72,18296,241.9,0.32987426736275466,0.9896228020882638,0.9794587646411976,0.0,0.9794587646411976,,,
b1e62c34bff1,A,multiclass,2017,original,day_ordered,as_attack,random_forest,11,1651932,866647,72,18296,109.6,0.33329198111184394,0.9998759433355318,0.9997519174473575,0.0,0.9997519174473575,,,
4461b84443dd,A,multiclass,2017,original,day_ordered,as_attack,random_forest,23,1651932,866647,72,18296,108.7,0.49993306644540125,0.9998661328908025,0.9997323016176136,0.0,0.9997323016176136,,,
39c6cfe142c3,A,multiclass,2017,original,day_ordered,as_attack,random_forest,37,1651932,866647,72,18296,114.9,0.3332910193101968,0.9998730579305903,0.9997461480856681,0.0,0.9997461480856681,,,
c312d0d0059a,A,multiclass,2017,original,day_ordered,as_attack,random_forest,51,1651932,866647,72,18296,107.4,0.33329198111184394,0.9998759433355318,0.9997519174473575,0.0,0.9997519174473575,,,
4c7b479d4f6f,A,multiclass,2017,original,day_ordered,as_attack,random_forest,73,1651932,866647,72,18296,113.8,0.33329198111184394,0.9998759433355318,0.9997519174473575,0.0,0.9997519174473575,,,
0ceef7a64485,A,multiclass,2017,original,day_ordered,as_attack,xgboost,11,1651932,866647,72,18296,59.2,0.3332473476692787,0.9997420430078362,0.9994842190649711,0.0,0.9994842190649711,,,
dc75818f9559,A,multiclass,2017,original,day_ordered,as_attack,xgboost,23,1651932,866647,72,18296,59.4,0.3332473476692787,0.9997420430078362,0.9994842190649711,0.0,0.9994842190649711,,,
a9b9491735a5,A,multiclass,2017,original,day_ordered,as_attack,xgboost,37,1651932,866647,72,18296,74.5,0.3332473476692787,0.9997420430078362,0.9994842190649711,0.0,0.9994842190649711,,,
93c95257b381,A,multiclass,2017,original,day_ordered,as_attack,xgboost,51,1651932,866647,72,18296,60.0,0.3332473476692787,0.9997420430078362,0.9994842190649711,0.0,0.9994842190649711,,,
786ec574ec16,A,multiclass,2017,original,day_ordered,as_attack,xgboost,73,1651932,866647,72,18296,59.6,0.3332473476692787,0.9997420430078362,0.9994842190649711,0.0,0.9994842190649711,,,
e0a284926a46,A,multiclass,2017,improved,random_70_30,as_attack,logreg,11,1469977,629991,85,3,210.9,0.7922584721943161,0.9903706412777419,0.8311630845039222,0.9777684142514481,0.9907443122203333,,,
5d989274c189,A,multiclass,2017,improved,random_70_30,as_attack,logreg,23,1469977,629991,85,3,199.2,0.8160459964318233,0.9905474888633228,0.8097261343973433,0.9782155578322719,0.9909316164834101,,,
48c5b6e71959,A,multiclass,2017,improved,random_70_30,as_attack,logreg,37,1469977,629991,85,3,214.3,0.7810992108586182,0.990621251758201,0.8294553180227701,0.9784089991905026,0.9910125700208415,,,
826c48527727,A,multiclass,2017,improved,random_70_30,as_attack,logreg,51,1469977,629991,85,3,230.8,0.7852151987457464,0.9905768648655252,0.7798721673991129,0.9781989534380149,0.9909252671863567,,,
be93891c6da3,A,multiclass,2017,improved,random_70_30,as_attack,logreg,73,1469977,629991,85,3,247.3,0.7848132992030092,0.9906930466956058,0.7616914583513311,0.978432022298228,0.9910205066421583,,,
8cee2fb17fd6,A,multiclass,2017,improved,random_70_30,as_attack,random_forest,11,1469977,629991,85,3,142.0,0.9950006219445421,0.9985576990355008,0.9933562272648623,0.9965388084477652,0.9985602968931302,,,
2a75fdb35653,A,multiclass,2017,improved,random_70_30,as_attack,random_forest,23,1469977,629991,85,3,137.2,0.9951997546304343,0.9985579806596159,0.9942154142859041,0.9965390110273489,0.9985602968931302,,,
11154a0978a4,A,multiclass,2017,improved,random_70_30,as_attack,random_forest,37,1469977,629991,85,3,139.7,0.9956268387205743,0.9985595251781731,0.9944399138328569,0.9965423788643736,0.9985618842173936,,,
6829fba76725,A,multiclass,2017,improved,random_70_30,as_attack,random_forest,51,1469977,629991,85,3,137.4,0.9954126213520497,0.9985576291099367,0.9942902825329377,0.9965389165563695,0.9985602968931302,,,
1fbbdf018766,A,multiclass,2017,improved,random_70_30,as_attack,random_forest,73,1469977,629991,85,3,139.1,0.9952532386780055,0.9984955046338743,0.9937340412798259,0.9963897917379155,0.9984983912468591,,,
c196bef6a14a,A,multiclass,2017,improved,random_70_30,as_attack,xgboost,11,1469977,629991,85,3,127.3,0.974781003765041,0.9995313664595622,0.9585819297472784,0.9988742314920256,0.9995317393423081,,,
1ff5802d31bc,A,multiclass,2017,improved,random_70_30,as_attack,xgboost,23,1469977,629991,85,3,128.0,0.97012494250232,0.9994392517205588,0.953421155989636,0.998652940703181,0.999439674535033,,,
4262dd39a1dd,A,multiclass,2017,improved,random_70_30,as_attack,xgboost,37,1469977,629991,85,3,129.4,0.9981504723005339,0.999471323238937,0.9978830934421951,0.9987291284320066,0.9994714210203003,,,
5360e07d76de,A,multiclass,2017,improved,random_70_30,as_attack,xgboost,51,1469977,629991,85,3,126.7,0.9602260981942402,0.9994804136533219,0.9408789766171526,0.9987520876396876,0.9994809449658805,,,
455669921300,A,multiclass,2017,improved,random_70_30,as_attack,xgboost,73,1469977,629991,85,3,126.6,0.9974514683866845,0.9994680744877905,0.9968352286173475,0.9987214945634669,0.9994682463717736,,,
ca87854478fa,A,multiclass,2017,improved,random_70_30,as_benign,logreg,11,1469977,629991,85,3,229.3,0.94593350160954,0.9929720513953475,0.9401800184007202,0.98286328869943,0.992976090134621,,,
0a6bfb3d6851,A,multiclass,2017,improved,random_70_30,as_benign,logreg,23,1469977,629991,85,3,212.2,0.8919377546689601,0.9927869747054086,0.9394765487802909,0.9824072210301521,0.9927903731958075,,,
869d3e969e6e,A,multiclass,2017,improved,random_70_30,as_benign,logreg,37,1469977,629991,85,3,212.4,0.9619801370137012,0.9929819561354317,0.9468882693746357,0.9828917532829179,0.9929903760529912,,,
764ae18ffd09,A,multiclass,2017,improved,random_70_30,as_benign,logreg,51,1469977,629991,85,3,235.7,0.9231683155555304,0.9931085693935339,0.947466300219021,0.9831879015017957,0.9931110126970067,,,
03014b187450,A,multiclass,2017,improved,random_70_30,as_benign,logreg,73,1469977,629991,85,3,211.3,0.8968503518261007,0.9928295003565205,0.865153193413843,0.9825202945521894,0.9928379929237084,,,
8102b45cbdf0,A,multiclass,2017,improved,random_70_30,as_benign,random_forest,11,1469977,629991,85,3,142.1,0.9798567557505246,0.9986311809308666,0.9668523435011136,0.9966524765785225,0.9986349011335083,,,
e228217a1665,A,multiclass,2017,improved,random_70_30,as_benign,random_forest,23,1469977,629991,85,3,142.3,0.9908080869116712,0.9985630069160338,0.9852516819466923,0.9964811234992035,0.9985650588659203,,,
1a00d8ee6a4b,A,multiclass,2017,improved,random_70_30,as_benign,random_forest,37,1469977,629991,85,3,142.3,0.9921141061471782,0.9985936502794753,0.9873792943292649,0.9965595332432916,0.9985968053511876,,,
b8c36ea8c46b,A,multiclass,2017,improved,random_70_30,as_benign,random_forest,51,1469977,629991,85,3,145.8,0.9714425688638022,0.9985941680031724,0.9512496487219371,0.9965589265711022,0.9985968053511876,,,
e3e3d87e35dc,A,multiclass,2017,improved,random_70_30,as_benign,random_forest,73,1469977,629991,85,3,145.7,0.9902158108813778,0.9985553639080323,0.9840214532439424,0.9964658239796453,0.9985587095688668,,,
92c05be56c06,A,multiclass,2017,improved,random_70_30,as_benign,xgboost,11,1469977,629991,85,3,120.8,0.974840991978993,0.9995213929931092,0.9554645306494868,0.9988282928975099,0.9995222153967279,,,
31e0b8ff9d10,A,multiclass,2017,improved,random_70_30,as_benign,xgboost,23,1469977,629991,85,3,118.2,0.9947798284782089,0.9995031761644373,0.9914808424360886,0.9987815768598605,0.9995031675055676,,,
