run_id,arm,task,version,split,attempted,model,seed,n_train,n_test,n_features,duplicates_removed,fit_seconds,macro_f1,weighted_f1,balanced_acc,mcc,accuracy,attack_recall,attack_precision,benign_fpr
55ad24ba4d81,A,multiclass,original,random_70_30,as_attack,logreg,11,1966706,842874,72,18296,580.4,0.6313037266276145,0.9714893300090377,0.598348444424076,0.9177955497130904,0.9719590353955633,,,
81a0e7516e92,A,multiclass,original,random_70_30,as_attack,logreg,23,1966706,842874,72,18296,541.7,0.6844212519029814,0.971043452796285,0.6754238227511471,0.9166649361916372,0.9715532807987908,,,
7198a1c5a8c6,A,multiclass,original,random_70_30,as_attack,logreg,37,1966706,842874,72,18296,404.2,0.6708829186436313,0.9700534859564252,0.6575958943846395,0.9137633898788057,0.9706314348289306,,,
ff0393f3dcff,A,multiclass,original,random_70_30,as_attack,logreg,51,1966706,842874,72,18296,625.8,0.6730908647610903,0.971248360697683,0.6520135893017138,0.9171493832825495,0.9717549716802274,,,
d2eff561b7af,A,multiclass,original,random_70_30,as_attack,logreg,73,1966706,842874,72,18296,447.0,0.6759733301892727,0.9700020544746514,0.6672641211627852,0.9135439956400007,0.9705685547306003,,,
42d496f1a740,A,multiclass,original,random_70_30,as_attack,random_forest,11,1966706,842874,72,18296,149.9,0.9214909541357446,0.9995730979506149,0.882791522150349,0.9987497283138684,0.9995752627320335,,,
c9378a773f7b,A,multiclass,original,random_70_30,as_attack,random_forest,23,1966706,842874,72,18296,151.3,0.9799325103055586,0.9995520267392662,0.9662239140759173,0.9986833604254075,0.9995527208099906,,,
202d6ffe44f2,A,multiclass,original,random_70_30,as_attack,random_forest,37,1966706,842874,72,18296,162.5,0.9632171309446823,0.9995549121169237,0.9369577761915622,0.9986939260652982,0.9995562800608394,,,
d1e1b608de99,A,multiclass,original,random_70_30,as_attack,random_forest,51,1966706,842874,72,18296,164.0,0.9704645791863482,0.9995650492041359,0.9539372783981638,0.998721911977712,0.9995657713964364,,,
6f6c5313e3f6,A,multiclass,original,random_70_30,as_attack,random_forest,73,1966706,842874,72,18296,161.3,0.9853796133374532,0.9995730636996635,0.9748324423996544,0.9987462826064435,0.9995740763150839,,,
9f4864be6fb9,A,multiclass,original,random_70_30,as_attack,xgboost,11,1966706,842874,72,18296,179.8,0.8253321372142564,0.9992551542847103,0.8904966055842282,0.997815003630398,0.9992573029895334,,,
591d56c79692,A,multiclass,original,random_70_30,as_attack,xgboost,23,1966706,842874,72,18296,178.3,0.9240270395711039,0.9996326027424545,0.9429083165613557,0.9989177869039543,0.9996322107456156,,,
448afbd5c4a5,A,multiclass,original,random_70_30,as_attack,xgboost,37,1966706,842874,72,18296,183.7,0.7023708872596716,0.9958704357170766,0.6980490628228329,0.9877419637794157,0.9958333036729096,,,
c689b566c1bd,A,multiclass,original,random_70_30,as_attack,xgboost,51,1966706,842874,72,18296,164.8,0.9193679882120526,0.9994926952923987,0.967398399725699,0.9985026697633539,0.9994910271286099,,,
5cda2a1e616b,A,multiclass,original,random_70_30,as_attack,xgboost,73,1966706,842874,72,18296,174.8,0.8908419241438426,0.9993925839575255,0.922958895209747,0.9982092382763676,0.9993913681048413,,,
fed6b8f53d82,A,multiclass,original,day_ordered,as_attack,logreg,11,1651932,866647,72,18296,241.2,0.32987426736275466,0.9896228020882638,0.9794587646411976,0.0,0.9794587646411976,,,
ac6363ac2d6f,A,multiclass,original,day_ordered,as_attack,logreg,23,1651932,866647,72,18296,241.5,0.32987426736275466,0.9896228020882638,0.9794587646411976,0.0,0.9794587646411976,,,
f83bfca5a8e9,A,multiclass,original,day_ordered,as_attack,logreg,37,1651932,866647,72,18296,240.9,0.32987426736275466,0.9896228020882638,0.9794587646411976,0.0,0.9794587646411976,,,
